Record No.,Date,Name of the student,UCID Number,Class,Mobile Number,Sanctioned Amount,Description of Scheme,Remark,clean_low,sentiment_label,month,year
1061,2017-08-14,Vineeta Gadkari,2929032797,CSE-AIML,9876557997,192,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,8,2017
1062,2018-09-22,Ravinder Batra,2332602741,CSE-DS,9876554169,1667,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,9,2018
1063,2022-05-04,Tarika Bhaskar,2361228796,CSE-AIML,9876591646,1134,Conference - Seminar - Workshops - Exhibition - Technical Festival,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,5,2022
1064,2018-06-28,Jeetendra Deshpande,2401850426,COMPS,9876594863,1860,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,6,2018
1065,2022-03-15,Samraggi Bhansali,2555318463,COMPS,9876569752,184,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,3,2022
1066,2024-01-24,Vishnukant Rai,2909587018,EXTC,9876564803,1193,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,1,2024
1067,2021-08-11,Abhishek Guru,2778916455,EXTC,9876513435,1406,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,8,2021
1068,2022-10-15,Soham Maken,2765661375,CSE-DS,9876517948,755,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,10,2022
1069,2021-06-09,Ranjana Mohapatra,2001963141,COMPS,9876587312,744,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,6,2021
1070,2019-06-29,Jagannath Chawla,2464931661,CSE-AIML,9876551295,482,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,6,2019
1071,2017-04-15,Anugya Jalan,2473015428,EXTC,9876588650,167,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,4,2017
1072,2018-02-05,Sapna Khurrana,2593187572,CSE-AIML,9876547805,1723,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,2,2018
1073,2022-01-23,Rajnath Shrivastava,2006152935,CSE-AIML,9876530130,345,External Technical Training Programs,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,1,2022
1074,2024-01-22,Tanuja Ganguly,2817430331,CSE-AIML,9876536524,1444,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,1,2024
1075,2023-10-03,Praveen Kanetkar,2392309794,CSE-DS,9876561188,1214,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,10,2023
1076,2019-05-04,Runjhun Khera,2438154117,EXTC,9876537151,1995,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,5,2019
1077,2020-05-10,Navya Gaur,2824758828,CSE-DS,9876582876,757,"Membership - IET, IEEE, CSI, ASM",Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,5,2020
1078,2019-04-02,Vividha Athawale,2026053635,CSE-DS,9876567318,1191,External Technical Training Programs,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,4,2019
1079,2020-10-15,Akriti Bhati,2319831285,CSE-AIML,9876569937,1404,Conference - Seminar - Workshops - Exhibition - Technical Festival,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,10,2020
1080,2019-12-30,Kalpana Roy,2929515242,COMPS,9876555574,120,"Membership - IET, IEEE, CSI, ASM",Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,12,2019
1081,2020-12-13,Ansh Dholakia,2263442956,CSE-DS,9876544911,1800,"Membership - IET, IEEE, CSI, ASM",Excellent performance in last semester.,excellent performance in last semester.,Positive,12,2020
1082,2023-11-05,Jatin Bhandari,2942330200,COMPS,9876537448,1631,External Technical Training Programs,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,11,2023
1083,2020-12-09,Vinod Deol,2261833005,CSE-AIML,9876518644,817,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,12,2020
1084,2020-06-26,Unnati Tiwari,2477850302,CSE-DS,9876585973,986,"Membership - IET, IEEE, CSI, ASM",Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,6,2020
1085,2018-11-01,Shakuntala Bhatia,2693803791,COMPS,9876528959,218,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,11,2018
1086,2019-07-28,Kanta More,2591342914,CSE-AIML,9876534616,699,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,7,2019
1087,2019-06-02,Kamlesh Vishwakarma,2086761738,CSE-DS,9876552168,433,"Membership - IET, IEEE, CSI, ASM",Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,6,2019
1088,2020-06-20,Divyanshu Kamat,2635519353,CSE-DS,9876575112,1085,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,6,2020
1089,2019-08-15,Avijit Jaitley,2106263934,COMPS,9876518084,610,External Technical Training Programs,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,8,2019
1090,2021-11-14,Karan Bose,2492706410,COMPS,9876542063,1924,External Technical Training Programs,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,11,2021
1091,2022-12-14,Nidhi Patil,2857330191,CSE-AIML,9876543393,600,External Technical Training Programs,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,12,2022
1092,2022-03-21,Rajshree Atrey,2340699453,EXTC,9876598404,1701,Conference - Seminar - Workshops - Exhibition - Technical Festival,Excellent performance in last semester.,excellent performance in last semester.,Positive,3,2022
1093,2021-05-11,Supriya Pandey,2987076743,CSE-DS,9876534151,1338,"Membership - IET, IEEE, CSI, ASM",Excellent performance in last semester.,excellent performance in last semester.,Positive,5,2021
1094,2019-06-11,Deepika Kapoor,2461369081,CSE-AIML,9876522196,331,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,6,2019
1095,2019-05-11,Raksha Chandrachud,2432417431,EXTC,9876518958,1815,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,5,2019
1096,2022-06-02,Nirmal Baranwal,2721451748,CSE-DS,9876557481,1306,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,6,2022
1097,2020-04-24,Pariniti Damani,2125279290,CSE-AIML,9876586435,1192,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,4,2020
1098,2021-09-25,Amrish Sagar,2840725870,EXTC,9876540529,1612,External Technical Training Programs,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,9,2021
1099,2018-04-11,Harshal Sahani,2745985008,COMPS,9876579546,1658,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,4,2018
1100,2019-04-24,Premprakash Gaonkar,2323041602,CSE-DS,9876514017,856,"Membership - IET, IEEE, CSI, ASM",Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,4,2019
1101,2021-11-19,Gautami Rout,2603192896,EXTC,9876520788,1862,Conference - Seminar - Workshops - Exhibition - Technical Festival,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,11,2021
1102,2020-07-28,Naina Mathur,2525321927,COMPS,9876554388,1339,External Technical Training Programs,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,7,2020
1103,2020-08-04,Mridula Bajaj,2200481018,CSE-AIML,9876578650,869,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,8,2020
1104,2020-07-24,Srishti Dadlani,2478359697,COMPS,9876599125,1099,Conference - Seminar - Workshops - Exhibition - Technical Festival,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,7,2020
1105,2022-08-28,Akhilesh Patwari,2743243281,EXTC,9876574578,1170,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,8,2022
1106,2021-07-12,Sameet Azad,2132216054,CSE-DS,9876584587,842,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,7,2021
1107,2023-05-20,Sanatan Dwivedi,2552950982,COMPS,9876596876,107,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,5,2023
1108,2022-12-20,Anuradha Kanetkar,2696784370,CSE-DS,9876546146,1111,Conference - Seminar - Workshops - Exhibition - Technical Festival,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,12,2022
1109,2021-12-22,Manju Nag,2052549953,EXTC,9876514591,1699,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,12,2021
1110,2021-12-06,Amar Prakash,2925762545,COMPS,9876519921,1878,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,12,2021
1111,2019-05-14,Udayraj Garg,2763533340,COMPS,9876554884,1907,"Membership - IET, IEEE, CSI, ASM",Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,5,2019
1112,2018-10-31,Shivesh Yaduvanshi,2752561992,CSE-AIML,9876579157,1762,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,10,2018
1113,2020-05-09,Tara Bhadauria,2944032787,EXTC,9876581590,1138,External Technical Training Programs,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,5,2020
1114,2023-03-22,Anupriya Khattar,2410688004,CSE-AIML,9876586857,863,"Membership - IET, IEEE, CSI, ASM",Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,3,2023
1115,2023-03-07,Ruchir Sethi,2512853948,CSE-DS,9876541896,1179,Conference - Seminar - Workshops - Exhibition - Technical Festival,Excellent performance in last semester.,excellent performance in last semester.,Positive,3,2023
1116,2019-08-22,Akash Prajapati,2512922827,CSE-AIML,9876594092,280,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,8,2019
1117,2017-07-17,Vaagdevi Som,2852540075,CSE-DS,9876540678,859,External Technical Training Programs,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,7,2017
1118,2021-04-20,Nishant Dasgupta,2888338315,CSE-DS,9876554661,1565,"Membership - IET, IEEE, CSI, ASM",Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,4,2021
1119,2019-04-20,Abhilasha Bhatt,2077389058,EXTC,9876598258,732,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,4,2019
1120,2023-08-11,Priyadarshini Pandey,2428156839,CSE-AIML,9876527976,1444,"Membership - IET, IEEE, CSI, ASM",Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,8,2023
1121,2018-08-01,Vaishali Khurrana,2841181418,COMPS,9876524582,836,Conference - Seminar - Workshops - Exhibition - Technical Festival,Excellent performance in last semester.,excellent performance in last semester.,Positive,8,2018
1122,2017-08-01,Tanay Roshan,2836023829,CSE-DS,9876555303,2000,External Technical Training Programs,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,8,2017
1123,2018-08-25,Bhoomika Ram,2372881901,CSE-AIML,9876589184,1291,"Membership - IET, IEEE, CSI, ASM",Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,8,2018
1124,2018-05-12,Rajeev Arora,2398100920,COMPS,9876589519,1177,External Technical Training Programs,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,5,2018
1125,2019-05-01,Sanidhya Talwar,2026972828,CSE-AIML,9876576009,212,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,5,2019
1126,2018-11-05,Rimjhim Bahuguna,2923843760,CSE-DS,9876573904,1258,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,11,2018
1127,2023-10-08,Aryan Sawant,2431672234,COMPS,9876589970,1122,"Membership - IET, IEEE, CSI, ASM",Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,10,2023
1128,2020-03-05,Nagesh Soni,2711116429,CSE-AIML,9876518799,138,Conference - Seminar - Workshops - Exhibition - Technical Festival,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,3,2020
1129,2017-09-23,Vrinda Kher,2181100274,EXTC,9876514791,123,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,9,2017
1130,2022-03-27,Sheetalaprasad Haldar,2824518082,CSE-AIML,9876529969,446,Conference - Seminar - Workshops - Exhibition - Technical Festival,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,3,2022
1131,2021-08-08,Megha Bhandari,2267712492,COMPS,9876558773,1983,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,8,2021
1132,2017-07-22,Tripti Deshpande,2894866586,CSE-AIML,9876539814,261,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,7,2017
1133,2021-10-23,Ramprasad Chouhan,2291858844,CSE-AIML,9876539773,152,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,10,2021
1134,2023-03-18,Avnish Jalan,2210708248,CSE-DS,9876519203,1708,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,3,2023
1135,2022-12-14,Radha Deshmukh,2911578267,EXTC,9876544943,1578,External Technical Training Programs,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,12,2022
1136,2020-01-11,Gopal Verma,2390633585,COMPS,9876536659,412,Conference - Seminar - Workshops - Exhibition - Technical Festival,Excellent performance in last semester.,excellent performance in last semester.,Positive,1,2020
1137,2018-10-13,Devbrat Mehra,2644302949,CSE-DS,9876530206,1194,Conference - Seminar - Workshops - Exhibition - Technical Festival,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,10,2018
1138,2020-01-04,Ajeet Umar,2212006932,CSE-AIML,9876583259,1221,Conference - Seminar - Workshops - Exhibition - Technical Festival,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,1,2020
1139,2020-03-23,Sonu Sahay,2940626566,EXTC,9876569016,173,"Membership - IET, IEEE, CSI, ASM",Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,3,2020
1140,2018-02-04,Puneet Umrao,2907427892,COMPS,9876543640,1745,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,2,2018
1141,2020-05-16,Pratyush Kakkar,2896099964,COMPS,9876546862,250,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,5,2020
1142,2023-05-12,Manjunath Jaitley,2928978184,CSE-DS,9876591528,1769,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,5,2023
1143,2021-09-21,Nripendra Banerjee,2075628065,COMPS,9876580694,1209,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,9,2021
1144,2021-03-13,Ramdev Kanetkar,2060247603,COMPS,9876528930,1736,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,3,2021
1145,2018-09-28,Shashinath Singh,2628035667,COMPS,9876515173,1226,External Technical Training Programs,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,9,2018
1146,2022-07-02,Lavanya Scindia,2060122483,EXTC,9876562756,263,"Membership - IET, IEEE, CSI, ASM",Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,7,2022
1147,2022-02-13,Dinesh Chandravanshi,2621869914,CSE-DS,9876536897,1693,Conference - Seminar - Workshops - Exhibition - Technical Festival,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,2,2022
1148,2023-12-12,Dilip Prasad,2277233795,CSE-DS,9876529461,1658,Conference - Seminar - Workshops - Exhibition - Technical Festival,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,12,2023
1149,2021-12-13,Ambuj Kannaujiya,2170629432,CSE-AIML,9876568661,878,"Membership - IET, IEEE, CSI, ASM",Excellent performance in last semester.,excellent performance in last semester.,Positive,12,2021
1150,2023-03-18,Prabhavati Sawant,2900566233,EXTC,9876592168,1336,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,3,2023
1151,2021-10-08,Sudesh Ahuja,2016872656,EXTC,9876527804,918,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,10,2021
1152,2022-06-29,Avichal Shekhawat,2807934151,CSE-AIML,9876568131,1740,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,6,2022
1153,2018-10-04,Chandrakanti Piramal,2880731749,EXTC,9876590028,1661,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,10,2018
1154,2021-06-02,Sheetendra Kashyap,2830896010,EXTC,9876517185,176,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,6,2021
1155,2022-05-08,Parmanand Soni,2114226283,CSE-DS,9876554445,125,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,5,2022
1156,2017-06-21,Manibhushan Bhaskar,2014637150,EXTC,9876586270,1885,"Membership - IET, IEEE, CSI, ASM",Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,6,2017
1157,2022-09-24,Janhvi Supriyo,2270178677,CSE-AIML,9876514611,190,"Membership - IET, IEEE, CSI, ASM",Excellent performance in last semester.,excellent performance in last semester.,Positive,9,2022
1158,2017-07-10,Anadi Kadam,2516522274,EXTC,9876523996,457,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,7,2017
1159,2022-05-04,Barkha Malhotra,2953797587,COMPS,9876595906,616,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,5,2022
1160,2019-12-02,Pratima Pal,2960685277,CSE-AIML,9876517194,1441,"Membership - IET, IEEE, CSI, ASM",Excellent performance in last semester.,excellent performance in last semester.,Positive,12,2019
1161,2021-01-07,Abhilash Biswas,2562423140,CSE-AIML,9876576057,1308,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,1,2021
1162,2021-02-23,Konkana Phogat,2639213045,EXTC,9876511562,1213,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,2,2021
1163,2023-09-22,Sonam Tendulkar,2998603404,CSE-AIML,9876584174,551,"Membership - IET, IEEE, CSI, ASM",Excellent performance in last semester.,excellent performance in last semester.,Positive,9,2023
1164,2019-03-01,Maheshwari Guha,2987469393,COMPS,9876584442,719,Conference - Seminar - Workshops - Exhibition - Technical Festival,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,3,2019
1165,2021-05-29,Suryaprakash Sagar,2666484976,COMPS,9876586591,1791,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,5,2021
1166,2024-04-12,Vibha Reddy,2509596218,CSE-AIML,9876562839,1673,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,4,2024
1167,2023-07-08,Sunil Vyas,2610386535,COMPS,9876588285,1974,External Technical Training Programs,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,7,2023
1168,2023-12-02,Apoorv Rathod,2566710311,CSE-AIML,9876556384,243,Conference - Seminar - Workshops - Exhibition - Technical Festival,Excellent performance in last semester.,excellent performance in last semester.,Positive,12,2023
1169,2023-05-29,Prerna Suryavanshi,2698162186,EXTC,9876552640,162,Conference - Seminar - Workshops - Exhibition - Technical Festival,Excellent performance in last semester.,excellent performance in last semester.,Positive,5,2023
1170,2019-03-30,Kesari Dholakia,2688732513,COMPS,9876550818,772,"Membership - IET, IEEE, CSI, ASM",Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,3,2019
1171,2019-12-11,Swaranjali Bajaj,2174845380,COMPS,9876564834,718,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,12,2019
1172,2018-01-29,Karn Bhogle,2107721064,EXTC,9876525031,517,Conference - Seminar - Workshops - Exhibition - Technical Festival,Excellent performance in last semester.,excellent performance in last semester.,Positive,1,2018
1173,2018-09-08,Rajeev Dogra,2850719135,EXTC,9876548391,1478,Conference - Seminar - Workshops - Exhibition - Technical Festival,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,9,2018
1174,2022-10-07,Shreyansh Mantri,2795045236,CSE-AIML,9876588745,1685,"Membership - IET, IEEE, CSI, ASM",Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,10,2022
1175,2018-12-17,Vaidehi Banerjee,2787168878,COMPS,9876587009,782,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,12,2018
1176,2023-04-03,Hemant Lohia,2121084958,EXTC,9876533701,703,External Technical Training Programs,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,4,2023
1177,2017-09-16,Mimansa Saha,2943128783,CSE-DS,9876536278,689,"Membership - IET, IEEE, CSI, ASM",Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,9,2017
1178,2018-03-31,Anil Ojha,2533008136,CSE-DS,9876549085,144,Conference - Seminar - Workshops - Exhibition - Technical Festival,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,3,2018
1179,2020-11-11,Vikalp Narayan,2131633549,CSE-AIML,9876598560,491,"Membership - IET, IEEE, CSI, ASM",Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,11,2020
1180,2017-07-17,Jyoti Suryavanshi,2741985649,EXTC,9876550696,1153,External Technical Training Programs,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,7,2017
1181,2017-07-17,Hitesh Bindra,2799872788,CSE-DS,9876521961,1917,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,7,2017
1182,2024-01-26,Mansi Mangeshkar,2306460889,EXTC,9876569322,299,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,1,2024
1183,2023-01-22,Umakant Purohit,2386313111,CSE-AIML,9876550901,1096,External Technical Training Programs,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,1,2023
1184,2019-07-02,Shreejesh Dikshit,2521529012,CSE-DS,9876542671,1979,"Membership - IET, IEEE, CSI, ASM",Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,7,2019
1185,2019-04-16,Kamlesh Sood,2544989165,CSE-AIML,9876567420,771,Conference - Seminar - Workshops - Exhibition - Technical Festival,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,4,2019
1186,2017-11-30,Ashwini Piramal,2928624826,CSE-DS,9876590046,415,External Technical Training Programs,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,11,2017
1187,2022-05-11,Manisha Chandravanshi,2133610913,CSE-DS,9876538211,944,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,5,2022
1188,2023-02-23,Siddharth Dholakia,2898741551,EXTC,9876572905,1975,"Membership - IET, IEEE, CSI, ASM",Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,2,2023
1189,2019-10-02,Nandini Mistry,2639081575,EXTC,9876584944,1620,Conference - Seminar - Workshops - Exhibition - Technical Festival,Excellent performance in last semester.,excellent performance in last semester.,Positive,10,2019
1190,2022-12-22,Geetanjali Bahuguna,2840627548,COMPS,9876567161,594,"Membership - IET, IEEE, CSI, ASM",Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,12,2022
1191,2022-10-07,Kalpana Kushwaha,2625265569,EXTC,9876533300,989,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,10,2022
1192,2023-11-05,Nagendra Sood,2489609609,EXTC,9876524879,1246,"Membership - IET, IEEE, CSI, ASM",Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,11,2023
1193,2020-01-23,Jatashankar Dubey,2216520005,EXTC,9876571344,933,"Membership - IET, IEEE, CSI, ASM",Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,1,2020
1194,2017-08-22,Vishwas Modi,2602654991,COMPS,9876545386,1968,Conference - Seminar - Workshops - Exhibition - Technical Festival,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,8,2017
1195,2017-05-18,Kaveri Bhat,2513026905,EXTC,9876561116,1739,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,5,2017
1196,2023-03-12,Mansa Sampla,2957317676,CSE-AIML,9876518211,587,External Technical Training Programs,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,3,2023
1197,2023-03-31,Aaradhita Ahuja,2871565789,CSE-DS,9876598301,1908,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,3,2023
1198,2023-10-08,Bhagvati Shah,2954594642,CSE-AIML,9876545996,1776,Conference - Seminar - Workshops - Exhibition - Technical Festival,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,10,2023
1199,2023-11-05,Divya Phogat,2085502894,CSE-AIML,9876543898,1540,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,11,2023
1200,2020-11-25,Sudesh Roy,2367682913,EXTC,9876546549,1267,"Membership - IET, IEEE, CSI, ASM",Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,11,2020
1201,2020-08-13,Ashok Som,2089441876,CSE-AIML,9876532531,797,"Membership - IET, IEEE, CSI, ASM",Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,8,2020
